RECLAMAÇÕES 2021 - JAN/AGO;;;;;
;;;;;
Data de entrada;Região;Razão Social;Área;Status da Reclamação;Proveniência
04/05/2021;NÃO INFORMADO;HP BRASIL INDUSTRIA E COMERCIO DE EQUIPAMENTOS ELETRONICOS LTDA;Produtos;CONCLUÍDA;Online
04/05/2021;FORA DA CIDADE DE SÃO PAULO;UBER DO BRASIL TECNOLOGIA LTDA.;Produtos;CONCLUÍDA;Online
05/05/2021;ZONA OESTE;RAPPI BRASIL INTERMEDIACAO DE NEGOCIOS LTDA;Serviços Privados;CONCLUÍDA;Online
05/05/2021;ZONA OESTE;LEANDRO BORGES MIRANDA - ME;Produtos;CONCLUÍDA;Online
05/05/2021;FORA DA CIDADE DE SÃO PAULO;NS2.COM INTERNET S.A.;Produtos;CONCLUÍDA;Online
05/05/2021;ZONA SUL;VSL EMPREENDIMENTOS EM VENDAS DIGITAIS LTDA;Produtos;CONCLUÍDA;Online
06/05/2021;CENTRO;TELEFONICA BRASIL S.A.;Serviços Essenciais;CONCLUÍDA;Online
07/05/2021;ZONA NORTE;BANCO C6 CONSIGNADO S.A.;Assuntos Financeiros;CONCLUÍDA;Online
07/05/2021;ZONA NORTE;BANCO MERCANTIL DO BRASIL SA;Assuntos Financeiros;CONCLUÍDA;Online
09/05/2021;ZONA LESTE;UBER DO BRASIL TECNOLOGIA LTDA.;Serviços Privados;CONCLUÍDA;Online
09/05/2021;ZONA NORTE;ELIANE MARTINS ANTUNES TEIXEIRA ME;Produtos;FINALIZADA;Online
09/05/2021;ZONA LESTE;A.M.A. COMERCIAL LTDA;Produtos;CONCLUÍDA;Online
11/05/2021;FORA DA CIDADE DE SÃO PAULO;PAGSEGURO INTERNET S.A.;Serviços Privados;CONCLUÍDA;Online
12/05/2021;NÃO INFORMADO;MERCADOPAGO.COM REPRESENTACOES LTDA.;Serviços Privados;CONCLUÍDA;Online
12/05/2021;FORA DA CIDADE DE SÃO PAULO;BB ADMINISTRADORA DE CONSORCIOS S.A.;Assuntos Financeiros;CONCLUÍDA;Online
12/05/2021;ZONA SUL;ESMALTEC S/A;Produtos;CONCLUÍDA;Online
13/05/2021;FORA DA CIDADE DE SÃO PAULO;SONIA OLIVEIRA BRANDAO ME;Produtos;CONCLUÍDA;Online
13/05/2021;ZONA LESTE;LG ELECTRONICS DO BRASIL LTDA;Produtos;CONCLUÍDA;Online
14/05/2021;ZONA NORTE;ELETROPAULO METROPOLITANA ELETRICIDADE DE SAO PAULO S.A.;Serviços Essenciais;CONCLUÍDA;Online
14/05/2021;ZONA LESTE;TELEFONICA BRASIL S.A.;Serviços Essenciais;CONCLUÍDA;Online
